erezaugtanẽpo	erezaugta nẽpo
oɨrɨru	o ɨ rɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	ipuru ʔa
tatapewan	tata pe wan
orozopodʒ	orozopodʒ
ozar	ozar
oʔoʔogawĩ	o ʔoʔogawĩ
sikuwakatu	sikuwa katu
oɨrumõde	oɨru mõde
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ rehe rako
mananãhãto	ma nanãhã to
oket	oke t
erepotanẽso	erepota nẽso
esisiganũwã	e sisiga nũwã
ozopodʒ	ozopodʒ
peekariɲ	pe e kariɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zopodʒ o
patupope	pa tu pope
oapar	o apar
tazaram	tazaram
surug	surug
arakapusauhu	arakapusa uhu
akaʔanũpã	akaʔa nũpã
masakaraenam	ma sa kara enam
opoʔoʔe	opoʔo ʔe
debaʔewaraso	debaʔewara so
tede	te de
taowe	taowe
imaniaɨ	imani a ɨ
pebaridʒateso	pe baridʒa teso
mokoɲtaroŋ	mokoɲ taroŋ
urukureʔa	urukureʔa
ezeburupa	e zeburupa
mame	mame
maiream	maire am
ozeka	o zeka
iɲuʔaŋ	iɲuʔaŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e potaroŋ
kob	kob
owa	owa
masogotɨ	masogotɨ
aiɲuŋ	aiɲuŋ
kʷər	kʷər
takuruʔar	takuruʔar
apɨdʒakotɨ	apɨdʒa kotɨ
deleiba	del eiba
didʒamãʔẽaɨdʒi	di dʒa mãʔẽ aɨ dʒi
nõdemõdokaroŋ	nõde mõdokar oŋ
nõdepe	nõde pe
otuitʃẽ	otuitʃẽ
baipurirɨepopenẽ	baipuri rɨe pope nẽ
iwɨrakotɨʔe	iwɨrakotɨ ʔe
ozewapihipihiŋ	ozewa pihipihiŋ
wɨraʔazozoga	wɨraʔa zozoga
anamiaha	anami aha
imenoŋ	imenoŋ
obowɨg	obo wɨg
owur	owur
apɨhɨg	apɨhɨg
oɨruanẽʔe	oɨru anẽ ʔe
siʔu	siʔu
pananarebeʔɨb	panana rebe ʔɨb
zaɨr	zaɨr
eredʒu	eredʒu
kɨtorehe	kɨto rehe
debaʔewarapo	debaʔewara po
penedu	pene du
iwɨrakotɨ	iwɨrakotɨ
dokusugi	dokusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	tekeʔɨr ãhã
idʒepaila	idʒe paila
omõbakatu	omõba katu
ikerape	ikerape
ezozopodʒ	ezozopodʒ
kʷi	kʷi
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõmaʔam
omãʔẽõwã	omãʔẽ õwã
orekʷarmeʔeŋoŋ	orekʷar meʔeŋoŋ
oiɲuŋtaroŋ	oiɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	okẽ hem ʔog
erezikanẽ	erezika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	emozemohun
tekoũwã	teko ũwã
urukureʔawi	urukureʔa wi
obosale	obosale
aho	a ho
omumuɲõ	o mumuɲ õ
anami	anami
panaĩsĩ	panaĩsĩ
omokaʔẽpa	o mo kaʔẽ pa
nan	nan
nanãhãte	nanãhã te
toporahadʒ	t oporahadʒ
erepotar	erepotar
tʃẽ	tʃẽ
oekar	o eka r
səwe	səwe
izonaɲapɨrɨ	izonaɲ a pɨrɨ
cayenneawinẽ	cayen ne awinẽ
okaʔar	okaʔar
lekolazarakom	lekolazar akom
awata	awata
sautu	saut u
ewinẽ	e wi nẽ
bal	ba l
françoise	fr ançoi se
zoaʔɨrape	zoaʔɨrape
maŋ	maŋ
baʔepe	baʔepe
dekuɲaɲi	dekuɲa ɲi
dozemõdɨʔariŋ	dozemõdɨ ʔariŋ
eraho	eraho
matɨwara	matɨ wara
atɨnẽ	atɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	dawarimãʔẽ enam
obotukukokat	obotukuk okat
oʔao	o ʔao
waita	wai ta
õhem	õhem
omõbagatu	omõba gatu
eremenõɲ	ere menõ ɲ
porowar	porowar
ʔɨpope	ʔɨ pope
ozoʔog	ozoʔog
troissautskotɨ	tro issautskotɨ
apɨdʒate	apɨdʒa te
piɲaŋi	piɲaŋi
orɨru	o rɨru
onan	onan
zaɨraʔɨrate	zaɨr aʔɨrate
aʔete	aʔe te
izonaɲ	izonaɲ
tekorehe	teko rehe
ikiʔɨ	iki ʔɨ
erepokogtar	erepokogtar
orohotaruwe	orohotar uwe
pemõbeʔu	pe mõbeʔu
esago	esago
kijapope	kijapope
naonan	naonan
idʒeate	idʒe ate
pitakomape	pitakom ape
apamanẽ	apama nẽ
eremozaugokar	ere mo zaugokar
kʷienam	kʷi enam
adudʒa	a dudʒa
idʒakaŋaʔar	idʒakaŋ a ʔar
okaoka	okaoka
oimiʔũ	oimiʔũ
disidʒapɨakadʒi	di sidʒapɨakadʒi
emen	emen
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	omeʔeŋ gatu
obobaʔewatokat	obo baʔewato ka t
onaŋ	o naŋ
toroike	to ro ike
epe	e pe
mananeto	manane to
otuio	otuio
emõdur	emõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	erepotar nẽso
kobpakatu	kob pakatu
tou	to u
kʷienã	kʷi enã
omõdo	omõ do
tekoawu	teko awu
amumuɲ	a mumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔepɨhɨg am
operoperog	ope roperog
taraɲeahẽ	taraɲe ahẽ
zoɨpɨrehe	zoɨpɨ rehe
wɨtʃɨnũwãso	wɨtʃɨ nũwãso
eʔiʔe	eʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨnuwã
akaʔutariɲ	aka ʔutari ɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõgaʔu okar
tekorapɨdʒate	teko rapɨdʒate
epaila	epaila
mokoɲamãʔẽkom	mokoɲ amãʔẽkom
iʔareʔe	i ʔareʔe
siparam	sipar am
tekokomãhã	teko kom ãhã
ijɨkom	ijɨ kom
aʔɨrate	aʔɨrate
ede	ede
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨtʃɨ nẽ
opokadʒaitʃe	opoka dʒa itʃe
oʔa	o ʔa
zar	zar
meʔeŋoŋ	meʔeŋoŋ
sa	sa
emebɨr	emebɨr
oropõʔãeta	oropõʔãeta
bedʒu	bedʒu
ʒãdamam	ʒãd am am
apamabaʔekʷərakom	apama baʔekʷər akom
rehete	rehe te
imodamãʔẽkom	i mo d amãʔẽkom
aroʔa	a r o ʔa
oiɲuŋtaro	oiɲuŋ tar o
sisu	sisu
takuru	takuru
emenatesipo	emen atesipo
pukutʃa	pukutʃa
azikakom	azika kom
nõdepedʒu	nõde pedʒu
tupa	tupa
diawutari	di awutari
eru	eru
pariamoŋ	pa ri amoŋ
abɨr	abɨr
tekoate	teko ate
deraɨhɨpadʒi	deraɨhɨpadʒi
maire	maire
azenami	azenami
eʔu	eʔu
wir	wir
wɨtɨrarehe	wɨtɨra rehe
ozewɨro	oze wɨro
oesiruwanẽ	oesiruwanẽ
kudʒaburuam	kudʒaburu am
anũpã	anũpã
oromozonaɲokar	o romozonaɲokar
derapɨdʒnane	derapɨdʒ nane
peitʃɨitʃɨg	pei tʃɨ itʃɨg
tekeʔɨr	tekeʔɨr
ɨŋa	ɨŋa
aʔebarehete	aʔe b arehete
oiɲuŋ	oiɲuŋ
dabaʔepatari	da baʔepa tar i
ozepɨhɨgo	ozepɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	n o mãʔẽtaraɨdʒi mãʔẽte
etaokar	etaokar
dezarakom	de zarakom
idʒupe	i dʒupe
sujeranõãtʃã	sujera nõ ãtʃã
aʔenũwãso	aʔe nũwãso
pedʒapɨakaõwã	pe dʒapɨakaõwã
purerureka	purerur eka
sisigakomarehe	sisiga komarehe
taraɲe	taraɲe
domanõɲi	d omanõ ɲi
obodzauk	obodzauk
arakapusawe	arakapusa we
poropɨhɨg	poropɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	okẽ
aʔɨraterehe	aʔɨrate rehe
munuʔaŋanate	munuʔaŋan ate
apɨka	apɨka
ebaʔewar	e baʔewar
karaikom	karai kom
nõdebaʔekʷərawe	nõde baʔekʷər awe
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	ezozopodʒ iɲ
ozebaradʒ	ozebaradʒ
ãhãso	ãhã so
aipo	aipo
kupaɲ	kupa ɲ
rapɨdʒate	rapɨdʒate
eʔi	eʔi
omõgaʔupa	omõgaʔu pa
aʔɨta	a ʔɨ ta
tekokom	teko kom
wãĩwã	wãĩwã
kudʒatãĩkɨr	kudʒatãĩkɨr
ãhã	ãhã
erapɨdʒtar	erapɨdʒtar
lekolazarate	lekolazar ate
otuirupiwe	otui rupi we
zawarakomarehe	zawara komarehe
eawutar	e awu tar
ãtɨ	ãtɨ
pezika	pe zika
daepɨdʒiaʔu	daepɨ dʒiaʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔekʷər
amonam	amo nam
opoʔãpope	opoʔã pope
oeraokompa	o eraokompa
tamãʔẽ	tamãʔẽ
amãʔẽnẽ	amãʔẽ nẽ
seikokom	sei ko kom
itukug	i tukug
idʒar	idʒar
toti	to ti
oʔurtar	oʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	defre ãhã
epɨbɨrɨ	epɨ bɨrɨ
omõduroŋ	omõduroŋ
oipir	o i pir
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	orowɨgtar eʔe
zozikaa	zozikaa
ikemɨn	ikemɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋi
orohotar	orohotar
siʔe	si ʔe
atarawadʒiɲ	atarawadʒ iɲ
sidʒaonẽ	sidʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	apõʔãnoŋ
zadʒapɨaka	zadʒapɨaka
oʔoramte	oʔoram te
omẽbɨro	omẽbɨr o
omõgʷeraharanẽ	o mõgʷera har anẽ
munam	m u nam
oakaŋ	o akaŋ
tab	tab
baʔesipo	baʔe sipo
eibaŋ	eiba ŋ
lekolape	lekola pe
otuiʔe	otui ʔe
tereraho	tereraho
kawi	kawi
iboteaweʔe	ibotea weʔe
eɲuwanamenũwã	eɲuwanam e nũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	oiɲuŋ oŋ
pepazenam	pe paze nam
maŋato	maŋ a to
kededʒu	kede dʒu
wɨɲate	wɨɲ ate
aʔekɨto	aʔe kɨto
rupawəra	rupawəra
aʔe	aʔe
oerokʷa	o erokʷa
apoʔãetaokar	apoʔã etaokar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨhɨka
onenaŋoŋ	one naŋ oŋ
ʔarape	ʔar ape
deroʔoram	der oʔoram
ɨwɨʔar	ɨwɨʔar
imani	imani
sinan	sinan
terehotar	terehotar
datɨpɨdʒi	da tɨpɨ dʒi
apamabaʔekʷər	apama baʔekʷər
oweroporahadʒpa	oweroporahadʒpa
amanaraʔɨrate	amanaraʔɨrate
okadʒ	oka dʒ
wɨtʃɨkuwa	wɨtʃɨ kuwa
okarabɨtebarupi	okarabɨteb a rupi
kayenape	kayen ape
dosuʔutari	dosuʔutari
edʒɨwe	edʒɨ we
am	am
sidʒu	si dʒu
kʷarapope	kʷarapope
mozepẽ	mozepẽ
ewedʒu	e wedʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨanam
owatamaʔẽ	owata maʔẽ
tukukimaʔẽ	tukuki maʔẽ
zawarenam	zawar enam
aʔekom	aʔe kom
napiarehe	napia rehe
orepe	ore pe
zarakom	zarakom
õwem	õ we m
osuʔu	osuʔu
idʒeanẽ	idʒea nẽ
zarenũwã	zar e nũwã
aʔekomãhã	aʔekom ãhã
edeatesipo	ede atesipo
wanegatukuwa	wane gatu kuwa
otuiŋ	otui ŋ
pe	pe
pezezika	pezezika
ozikakom	ozikakom
ozaug	o zaug
siŋi	si ŋi
opa	o pa
nõdebaʔekʷərarehete	nõde baʔekʷər arehete
pekariɲ	pe kariɲ
enam	enam
obaʔe	obaʔe
tekokomarehe	teko komarehe
epɨ	epɨ
tapoʔo	tapoʔo
lapotarupi	lapotarupi
ekotɨŋ	e kotɨŋ
otuitaro	otuitar o
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	zazemõapam pa
ozaramoŋ	ozar amoŋ
zapu	zapu
tukuk	tukuk
tapiʔir	tapiʔir
arehete	arehete
okakuwa	oka kuwa
idʒupekupamãʔẽ	idʒupekupa mãʔẽ
obaʔeŋ	obaʔe ŋ
tokɨr	t okɨr
aŋawi	aŋawi
aiɲuŋokatar	aiɲuŋ okatar
ijɨrehewe	ijɨ rehe we
tapɨdʒam	tapɨdʒa m
eraha	er aha
piramãʔẽ	pira mãʔẽ
pazaru	pazaru
azor	azor
awakʷəraraʔɨr	awakʷəra raʔɨr
zeʔoram	ze ʔoram
okijapope	o kijapope
depeidudʒi	depe idudʒi
nõdezarakotɨ	nõde zara kotɨ
omõgaguaŋ	omõ gaguaŋ
opirog	opi rog
owɨr	owɨ r
aʔuwe	aʔu we
eakãnũpã	eakã nũpã
inamɨɲ	inam ɨɲ
amanaraʔɨraterehe	amanaraʔɨrate rehe
oweta	o weta
kede	kede
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	deraɨhɨdʒi
sikuwa	sikuwa
emõdurawĩ	emõdur awĩ
ozezikaŋ	ozezika ŋ
parceque	parceque
porowaratewe	porowar ate we
desuʔu	desuʔu
zapusĩ	zapusĩ
oʔoram	oʔoram
aipoate	aipo ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõde raʔɨrakom ate enam
pedehe	pe dehe
izazape	izazape
wiroate	wir o ate
daʔudʒi	da ʔudʒi
kobtarpɨrɨ	kob tar pɨrɨ
oɨkɨdʒ	oɨkɨdʒ
apam	apam
omãʔẽ	omãʔẽ
oeraho	o eraho
idʒuwiŋ	i dʒu wi ŋ
ãtɨte	ãtɨ te
idʒupekupamãʔẽpuri	idʒupekupa mãʔẽ puri
zemenõ	ze menõ
doʔudʒi	do ʔudʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	er apararaha
aku	aku
iɲuʔaŋoŋ	iɲuʔaŋ oŋ
ozezeka	oze zeka
moɲi	moɲ i
okarabɨteb	okarabɨteb
zawaraenam	zawara enam
idʒeãhã	idʒe ãhã
iwaɲe	i waɲ e
perabkatu	perabkatu
wɨrakaranũwãʔe	wɨrakara nũwã ʔe
ikemɨnanam	ikemɨn a nam
awurtar	awurtar
orekʷarape	orekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔehar
teko	teko
wãĩwĩenam	wãĩwĩ enam
oiruo	oiru o
ɨat	ɨat
kudʒatãĩkɨrakom	kudʒatãĩkɨr akom
napiararehe	napia ra rehe
owata	owata
pedapɨdʒ	pe d apɨdʒ
dadʒaʔodʒiɲ	dadʒaʔo dʒiɲ
ɨɲtʃɨwi	ɨɲtʃɨ wi
emẽbɨriɲ	e mẽbɨriɲ
imen	imen
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	okusug
okero	oker o
zaiko	zaiko
maziʔogape	maziʔog ape
idʒe	idʒe
ozemokasinẽ	ozem oka si nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	oʔur amãʔẽkom
wɨraʔa	wɨraʔa
nanipamẽ	nani pamẽ
to	to
dorokuwadʒi	do ro kuwadʒi
apamaʔe	apamaʔe
takuruʔaranẽ	takuruʔar anẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	otuio mãʔẽ rehe
aiɲuŋokartar	aiɲuŋ okartar
irupi	i rupi
zawapinimaʔar	zawa pinimaʔar
tomãʔẽ	t omãʔẽ
naonanpɨrɨnẽ	naonan pɨrɨ nẽ
obotukuk	obotukuk
kor	ko r
koenam	ko enam
oiɲuŋbanam	oiɲuŋ ba nam
okuar	okuar
ibaʔewato	i baʔewato
zeporikatu	zepori katu
urupẽhem	urupẽhem
dezeburupa	de zeburupa
osapatokom	o sa patokom
ozebaradʒo	ozebaradʒ o
oweraho	o we raho
bodʒuhukom	bodʒuhukom
ikotɨɲ	ikotɨ ɲ
oeta	o eta
taʔaŋarehe	taʔaŋarehe
omanõ	omanõ
paila	paila
siparate	siparate
apoʔã	apoʔã
okɨrɨg	okɨr ɨg
ibaʔeraɨ	ibaʔeraɨ
pitaŋkomape	pitaŋ kom ape
owɨb	owɨ b
pamẽitʃe	pamẽ itʃe
meneɲõkom	men e ɲ õkom
datisikədʒi	dati sikədʒi
kotɨŋ	kotɨŋ
aʔeate	aʔe ate
karakuri	karakuri
raikʷara	raikʷara
ɨaramãʔẽharakomape	ɨar amãʔẽhar akom ape
hem	hem
bapɨr	ba pɨr
dʒaiwərate	dʒaiwərate
munuʔaŋanamte	munuʔaŋan amte
demebɨri	d emebɨr i
imõbo	imõbo
owɨkɨrog	o wɨkɨrog
tatabodʒ	tata bodʒ
dikaruginam	di karug i nam
omozezopodʒ	omoze zopodʒ
karugapopewe	karug a pope we
dʒuribaweʔe	dʒuriba weʔe
okɨr	okɨr
okidʒewerehe	okidʒe we rehe
pezebuʔuaiɲ	pezeb uʔu aiɲ
demeni	demen i
takuruũwĩ	takuruũwĩ
dapotari	dapotar i
nipẽam	nipẽ am
oronekomuwe	orone kom uwe
dozaugi	do zaug i
epewaramte	e pe war amte
pirarehe	pira rehe
paku	paku
zeʔar	zeʔar
iʔar	i ʔar
lekolazar	lekolazar
zowomaʔẽkom	zowo maʔẽ kom
otuitar	otuitar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	d ozaʔog iŋ
pira	pira
watekotɨwarakom	watekotɨ war akom
naninam	nani nam
kõʔemirehe	kõʔem i rehe
nõdeawutari	nõde awutari
kunumizeburupa	kunumi zeburupa
okaʔu	okaʔu
osuʔupa	osuʔu pa
jawara	ja wara
oiba	oiba
esuʔu	e suʔu
omãʔẽmãʔẽ	omãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõde kom
pebaridʒaso	pebaridʒa so
opɨhɨgoŋ	o pɨhɨg oŋ
peneɨar	pene ɨar
zeʔari	zeʔar i
ɨar	ɨar
dawarimãʔẽ	dawarimãʔẽ
oʔupakatu	oʔu pakatu
zoɨpɨ	zoɨpɨ
deru	deru
tawadʒi	tawadʒi
awakʷərarehe	awakʷəra rehe
daorɨdʒi	daorɨdʒi
ohoʔe	oho ʔe
mozepẽãhã	mozepẽ ãhã
zawaro	zawar o
naniãhã	nani ãhã
okoaraõwã	o koar a õwã
dati	dati
ɨwɨkʷarapope	ɨwɨ kʷarapope
ipopewar	ipope war
ɨɲawite	ɨɲawite
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	nameʔeŋtari
baʔerehe	baʔe rehe
oʔuo	oʔu o
atarawadʒ	atarawadʒ
amõkomabaʔekʷəranẽ	amõkom a baʔekʷər anẽ
kobaitʃe	kob a itʃe
nanenũwã	nane nũwã
edeãhãsa	ede ãhãsa
awapeto	awa pe to
idʒarɨdʒanam	idʒar ɨdʒa nam
oboapɨg	oboapɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	osiŋga r
ozarareiba	ozar a reiba
ozekɨesago	oze kɨesago
pedʒu	pedʒu
sisukija	sisu kija
zeakapɨreri	ze akapɨreri
ozemĩnõtar	o zemĩ nõ tar
sikãĩ	sikãĩ
areko	areko
oʔaranawe	oʔaranawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔekʷər akom
ijɨ	ijɨ
adʒumãʔẽ	adʒu mãʔẽ
oʔuwo	oʔu wo
wãĩwĩam	wãĩwĩ am
opɨhɨpa	o pɨhɨpa
mama	mama
manãkuwapa	manãkuwapa
omeʔeŋ	omeʔeŋ
ibaridʒa	ibaridʒa
okidʒerehe	okidʒe rehe
opopor	opopor
owag	o wag
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o wedʒu
owawag	owawag
dewɨrakotɨ	dewɨrakotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa rowər
sikãĩwe	sikãĩ we
nõdeawuawekuwaenam	nõde awu awe kuwa enam
ohoɲ	oho ɲ
kɨto	kɨto
sizika	sizika
omãʔẽo	omãʔẽ o
zawar	zawar
ɨɲ	ɨɲ
oirur	oiru r
12zaɨãhã	12za ɨ ãhã
kõʔem	kõʔem
ereɲ	ereɲ
okuʔeŋ	okuʔeŋ
roger	rog er
mun	mun
omõgerokar	omõg er okar
baripa	ba ri pa
mamenasinã	mamena sinã
erezor	erezor
arowarowagamãʔẽkom	aro warowag amãʔẽkom
oker	oker
adʒutar	adʒu tar
matɨ	matɨ
ipopenẽ	ipope nẽ
ozepir	oze pir
ozepɨhɨg	ozepɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	pezeb o aite sipo
turehewe	tu rehe we
aŋeʔe	aŋeʔe
aʔenawe	aʔenawe
edeãhã	ede ãhã
enã	enã
apamawi	apama wi
tokerako	to kerako
zabaʔeokar	zabaʔe okar
channel	channe l
kobazepe	ko bazepe
eʔinẽɨwər	eʔi nẽɨwər
ozepotaroŋ	oze potaroŋ
ebaridʒa	e baridʒa
dimani	d imani
okuwapɨlɨ	okuwapɨlɨ
urupehem	urupehem
akaŋ	akaŋ
ãhãsa	ãhãsa
omẽbɨr	omẽbɨr
omõderehe	omõ de rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	orone karakuri õwã nam
abaʔepotɨr	a baʔe potɨr
camopipori	camo pi pori
derehe	de rehe
omanõmãʔẽ	omanõ mãʔẽ
kupao	kupao
ikarug	i karug
pɨhɨka	pɨhɨka
ibaʔewar	i baʔewar
ekerakoɲ	e kerako ɲ
zawaram	zawar am
edɨ	edɨ
etarawadʒ	etarawadʒ
kupanam	kupanam
mokoɲoŋ	mokoɲ oŋ
zozikahar	zozikahar
karaam	kara am
kobara	kob ara
nõdurtari	nõdu r tari
ereikɨdʒanũwã	ereikɨdʒa nũwã
tɨãkã	tɨãkã
oboʔi	oboʔi
oeroker	o er oker
orɨorɨo	orɨorɨ o
wɨraʔauhu	wɨraʔa uhu
oʔurtaroŋ	oʔur taroŋ
kujã	kujã
abaʔe	a baʔe
bokalape	bokalape
ozikapaŋ	o zikapaŋ
kasuru	kasuru
onanmãʔẽate	onan mãʔẽate
toroʔu	to r oʔu
kunumi	kunumi
tosiamnẽ	tosiam nẽ
zawa	zawa
iwoʔi	iwo ʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	ozewɨka ŋ
wãĩwĩ	wãĩwĩ
urupehemam	urupehem am
baʔekʷər	baʔekʷər
mɨdɨdʒunam	mɨdɨdʒunam
nõdereheo	nõde rehe o
zaidukatukom	zaidu katu kom
sibaʔetar	sibaʔetar
kir	kir
dazaugpadʒi	da zaugpa dʒi
polo	po l o
zawararaʔɨr	zawara raʔɨr
omõwaɲ	omõ waɲ
opaʔawo	opaʔawo
poromokonamãʔẽate	poro moko na mãʔẽate
apamabaʔepeãhã	apama baʔepe ãhã
erezika	erezika
ebɨʔaramoŋnõwã	ebɨ ʔaramoŋ n õwã
bodʒ	bodʒ
mɨnawe	mɨn awe
amewar	am e war
zadʒapɨakanam	zadʒapɨaka nam
ozeʔupakaroŋ	ozeʔu pa kar oŋ
amõkom	amõkom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒuriba
aʔu	aʔu
azenamiahaokar	azenami aha okar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	kob ãhã
nebʃa	ne bʃa
owataŋ	owata ŋ
seredʒuɲ	s eredʒu ɲ
zaidu	zaidu
opoʔo	opoʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	no idudʒi so
sidʒaorehe	sidʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔepɨhɨg a
matɨsipo	matɨ sipo
erepotaneso	erepotaneso
ikotɨ	ikotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	ipope
maziʔog	maziʔog
ozemim	ozem i m
ekojaram	e kojara m
ibaridʒate	ibaridʒa te
ʔog	ʔog
opoanba	opoanba
zomãʔẽnanhar	zo mãʔẽnanhar
derapɨdʒ	derapɨdʒ
erenũpã	erenũpã
otui	otui
pegotɨ	pe gotɨ
sipaʔam	si paʔam
tepedʒapɨakaõwã	te pe dʒapɨakaõwã
tapiʔirarehe	tapiʔirarehe
odʒapɨakamãʔẽ	odʒapɨakamãʔẽ
dokuwadʒi	do kuwadʒi
aʔenam	aʔe nam
aʔegotɨnẽʔe	aʔe gotɨ nẽ ʔe
iawu	iawu
