იტალიასთან	იტალი ასთან
პოლონური	პოლონ ური
გააფთრებული	გააფთრ ებული
გაჩერებას	გაჩერ ებას
დევიზი	დევიზ ი
ასრულდა	ასრულ და
ნაძვის	ნაძვ ის
ირლანდიელები	ირლანდი ელ ები
სათადარიგოთა	სათადარი გო თა
სულებთან	სულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	იწყ ებდნენ
სიგანეში	სიგანე ში
სეისმურ	სეისმ ურ
ქალაქისათვის	ქალაქ ის ათვის
ფესვები	ფესვ ები
ტელეარხების	ტელეარხ ების
აგნოსტიკოსი	აგნოსტ იკოსი
ააფეთქეს	ააფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლივი ა
ატარებდა	ატარ ებდა
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გავრცელებ ას
ბარიკადებზე	ბარიკად ებზე
შეენარჩუნებინათ	შეენარჩუ ნები ნათ
აბსტრაქტულ	აბსტრაქტ ულ
დაინახავს	დაინახ ავს
თეორიების	თეორი ების
ტრიბუნების	ტრიბუნ ების
დაუჯდა	დაუჯ და
რესპუბლიკელებს	რესპუბლიკელ ებს
ბიძაშვილზე	ბიძაშვილ ზე
გაზეთის	გაზეთ ის
ფარულად	ფარ ულად
განრისხება	განრისხ ება
პელეს	პელ ეს
ერევანი	ერევან ი
მონად	მო ნად
ირკვევა	ირკვევ ა
ფერწერას	ფერწერ ას
რადიოს	რადიო ს
ბაქოში	ბაქ ოში
პარტიზანებს	პარტიზან ებს
ყიზილბაშების	ყიზილბაშ ების
შენადნობის	შენადნობ ის
ეთიოპელი	ეთიოპ ელი
საპა	საპ ა
ისრებით	ისრ ებით
მთვარის	მთვარ ის
პატივმოყვარე	პატი ვ მოყვარე
ბებიასთან	ბები ასთან
მიღწევაში	მიღწევ აში
პოლონეთმა	პოლონეთ მა
რეიგანის	რეიგან ის
არქონის	არქონ ის
სანქციები	სანქცი ები
აცნობენ	აცნობ ენ
დაფუძნებულ	დაფუძნებ ულ
ბალთაზარ	ბალ თა ზარ
ჰადესში	ჰადეს ში
მეთხუთმეტე	მეთხუთმეტ ე
კულინარული	კულინარ ული
ბენქსი	ბენქს ი
გასამგზავრებლად	გასამგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორჟანგ ის
რუსუდან	რუსუდა ნ
მიზანიც	მიზან იც
დოვლათის	დოვლათ ის
ერისთავ	ერ ი სთავ
დიაკვნად	დიაკვნ ად
საკონსერვო	საკონსერვ ო
ესპანურენოვან	ესპანურ ენ ოვან
ამაღლებს	ამაღლებ ს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრიზ ი
ტერფი	ტერფ ი
პიეტრო	პიეტ რო
ხელმძღვანელობით	ხელმძღვანელობ ით
მყინვარის	მყინვარ ის
წამოსული	წამოსულ ი
ვახტანგ	ვახტან გ
სისასტიკის	სისასტიკ ის
შესაბამისი	შესაბამის ი
აქტივობას	აქტივობ ას
პარმას	პარმ ას
წვერიანი	წვერ იანი
უტრეხტის	უტრეხტ ის
ხანგრძლივობაა	ხანგრძლივობ აა
კემბრიჯში	კემბრიჯ ში
აგილერას	აგილერ ას
გადასვლისას	გადასვლ ისას
საფუძვლის	საფუძვლ ის
ციკლონური	ციკლონ ური
ხაზის	ხაზ ის
მხარე	მხარ ე
ოფიცრები	ოფიცრ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამოშვ ებულ
მტაცებელია	მტაც ებელი ა
ტბის	ტბ ის
რასელმა	რას ელმა
კიროს	კირ ოს
მედიას	მედი ას
სოკოების	სოკო ების
შენელების	შენელ ების
კვერცხების	კვერცხ ების
ინდოევროპული	ინდოევროპუ ლი
სტრატეგიულ	სტრატეგი ულ
ჰქონდათ	ჰქონ დათ
რამა	რამ ა
დაუმორჩილა	დაუმორჩილ ა
ამსახველ	ამსახვ ელ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სავან აში
ოქტომბერი	ოქტომბერ ი
სამმართველოს	სამმართველ ოს
მიაღწიოს	მიაღწი ოს
ზრდასა	ზრდ ას ა
ქელბაჯარის	ქელბაჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნაყი ნი
სამუშაოს	სამუშაო ს
გამოცემამდე	გამოცემ ამდე
შრედინგერის	შრედინგერ ის
ნორმის	ნორმ ის
ვეზირის	ვეზირ ის
გადმოხვიდე	გადმოხვ იდე
თეიმურაზ	თეიმურა ზ
გამოთვლები	გამოთვლ ები
განმასხვავებელ	განმასხვავებ ელ
დაადგება	დაადგ ება
მაგნიტუდის	მაგნიტუდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გებელს მა
ისხდნენ	ისხ დნენ
დიმიტრი	დიმიტრ ი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსავლ ი ანობა
რადეს	რად ეს
ფარგლები	ფარგლებ ი
გადაკეთებულია	გადაკეთ ებული ა
დაითხოვა	დაითხოვ ა
რელიგიისა	რელიგი ისა
შრიფტით	შრიფტ ით
დრამატულად	დრამატ ულად
შეფასებული	შეფასებ ული
ევროპელებს	ევროპელ ებს
ჯავახეთი	ჯავახ ეთი
განდეგილი	განდეგ ილი
თხემურ	თხემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მოთამაშე დ
მაღალმთის	მაღალმთ ის
დანიშნულმა	დანიშნ ულმა
პარაგვაი	პარაგვა ი
სინგლში	სინგლ ში
სრულუფლებიანი	სრულუფლებ იანი
მოჭრილ	მოჭრ ილ
გადაქცეულია	გადაქცე ულია
ასწიოს	ასწი ოს
ჩადენსისის	ჩადენ სის ის
არხით	არხ ით
წესია	წეს ია
ვატიკანის	ვატიკან ის
ზოროასტრიზმის	ზოროასტრ იზმის
ვაკანტური	ვაკანტ ური
გამდინარე	გამდინარ ე
ლაღი	ლაღ ი
ცოდვათა	ცოდვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებისა
შედეგი	შედეგ ი
მტირალა	მტირალ ა
აეხსნა	აე ხსნა
ოტავა	ოტავ ა
რქებს	რქ ებს
მოხალისედ	მოხალისე დ
ხალიჩების	ხალიჩ ების
კიდურწაისრული	კიდურწა ის რული
ქულები	ქულ ები
ანდერსონთან	ანდერსონ თან
მკლავში	მკლავ ში
მსმენელებს	მსმენელ ებს
დანიშნოს	დანიშნ ოს
ლტოლვილების	ლტოლვილ ების
ორსულ	ორს ულ
შესატყვისი	შესატყვის ი
შვედეთისა	შვედეთ ისა
მოწინააღმდეგესთან	მოწინააღმდეგე სთან
დასჯით	დასჯ ით
ჰუმანიზმი	ჰუმან იზმი
ზონდი	ზონდ ი
დენიელ	დენ იელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარნი ეს
დაარწმუნეს	დაარწმუნ ეს
გააგზავნეს	გააგზავნ ეს
ბებიას	ბები ას
დაიბრუნებდა	დაიბრუნ ებდა
ჟორჟი	ჟორჟ ი
კოდით	კოდ ით
წარმოსახვითი	წარმოსახვ ითი
ნმ	ნ მ
გაუპატიურების	გაუპატიურ ების
ფრენენ	ფრენ ენ
მკვლელობისთვის	მკვლელობ ისთვის
რისკის	რისკ ის
ჩნდებოდნენ	ჩნდებ ოდნენ
სექტემბერში	სექტემბ ერ ში
მრუდე	მრუდ ე
მარხილის	მარხილ ის
გაურბიან	გაურბ იან
წუთებზე	წუთ ებზე
აღსადგენად	აღსადგენ ად
პრობლემებია	პრობლემ ები ა
გორილას	გორილ ას
კაიზერის	კაიზ ერის
პლატინის	პლატინ ის
მოსარწყავად	მოსარწყ ავად
ნიშა	ნიშ ა
პროცენტულად	პროცენტ ულად
იფანტება	იფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ათენ ას
ავსტრალია	ავსტრალი ა
ოშოს	ოშ ოს
ეთიკურ	ეთიკ ურ
საწარმოებლად	საწარმო ებლად
გადაადგილდა	გადაადგილდ ა
მიზანია	მიზან ია
ხევისბერი	ხევისბერ ი
მარცვლის	მარცვლ ის
ყოველივე	ყოველივ ე
ფერგიუსონმა	ფერგიუსო ნმა
შემოქმედებაშიც	შემოქმედებ აში ც
მოასწრებს	მოასწრ ებს
მინარეთი	მინარ ეთი
რუსეთისთვის	რუსეთ ისთვის
პროტექტორატის	პროტექტორ ა ტის
საინიციატივო	საინიციატივ ო
ცვივა	ცვი ვა
საკმეტოში	საკმეტ ოში
განმარტოებულ	განმარტო ებულ
გეოლოგიას	გეოლოგი ას
ხელისუფლებაში	ხელისუფლებ აში
ეტიუდი	ეტიუდ ი
პალიასტომის	პალიასტომ ის
უბერავს	უბერ ავს
წყალსატევის	წყალსატევ ის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთისმშობ ელმა
ეპოქას	ეპოქ ას
გამოუცხადეს	გამოუცხად ეს
მოსახერხებელია	მოსახერხ ებელი ა
დატვირთულია	დატვირთ ულია
ქრისტეშობამდე	ქრისტეშობ ამდე
მილიონად	მილიონ ად
ამოვსებული	ამოვს ებული
ლამა	ლამ ა
პოლიტიკამ	პოლიტიკ ამ
სამართალი	სამართალ ი
მოსამსახურეთა	მოსამსახურ ეთა
მინდვრები	მინდვრ ები
შენდებოდა	შენდ ებოდა
მიწერილ	მიწერ ილ
უკანასკნელს	უკანასკნელ ს
რხევას	რხევ ას
ცენზორის	ცენზორ ის
კატისებრთა	კატ ის ებრთა
დასაშვებ	დასაშვ ებ
იასონი	იასონ ი
მაღალი	მაღალ ი
დაარწმუნებს	დაარწმუნ ებს
განლაგების	განლაგ ების
წინაპრებისგან	წინაპრ ების გან
ციური	ცი ური
გადახდების	გადახდ ების
პრევალი	პრე ვალი
მარჯიელა	მარჯ იელ ა
უტოპიურ	უტოპ იურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუმატ ეს
გერმანელის	გერმან ელის
ფოთლოვან	ფოთლ ოვან
კალთებიდან	კალთ ებიდან
კათოლიკოსი	კათოლიკ ოსი
ცეცხლსასროლ	ცეცხლსასრო ლ
ჭყონდიდელის	ჭყონდიდ ელის
ხიმშიაშვილი	ხიმ ში აშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მცხეთ აში
წმინდანების	წმინდან ების
მადაგასკარი	მადაგასკარ ი
სექსუალობის	სექსუალ ობის
დარტყმების	დარტყმ ების
საკოლმეურნეო	საკოლმეურნე ო
ოლიმპოს	ოლიმპ ოს
შავკანიანები	შავკანიან ები
შეასრულებს	შეასრულ ებს
რავენაში	რავენ აში
მყინვარია	მყინვარ ია
კანგალი	კანგალ ი
იგერიებდნენ	იგერი ებდნენ
ექსპლოატაციის	ექსპლოატაცი ის
მდინარეებს	მდინარე ებს
სამახსოვრო	სამახსოვ რო
შეიარაღების	შეიარაღებ ის
ცენტრიც	ცენტრ იც
სკოლაა	სკოლ აა
მქონეა	მქონ ეა
ვიგებთ	ვიგ ებთ
მორფოლოგიური	მორფოლოგ იური
თურქების	თურქ ების
მეთაურობის	მეთაურობ ის
მწყემსი	მწყემს ი
საყრდენ	საყრ დენ
სხვადახვა	სხვადახვ ა
მონარქი	მონარქ ი
კირილეს	კირილ ეს
გეტო	გეტ ო
წინამორბედთან	წინამორბედ თან
ჯულიეტა	ჯული ეტა
პლანეტად	პლანეტ ად
ჰემში	ჰემ ში
აგრძელებს	აგრძელებ ს
აქვეა	აქვე ა
კილომეტრია	კილომეტრ ია
აცვიათ	აცვ იათ
ეწეოდა	ეწე ოდა
არქანჯელო	არქანჯელ ო
საგები	საგ ები
წარმოიდგინე	წარმოიდგინ ე
იუანის	იუ ანის
ერთპიროვნული	ერთპიროვნულ ი
რუმინული	რუმინ ული
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შევსებ ული
კლდიდან	კლდ იდან
ქვიან	ქვ იან
შემოზღუდული	შემოზღუდ ული
ფეროშენადნობთა	ფეროშენადნობ თა
აბსოლუტიზმი	აბსოლუტ იზმი
ალყამ	ალყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზისტენციალ ურ
გაერო	გაერ ო
გათამაშებიდან	გათამაშ ებიდან
მაროკოს	მაროკ ოს
პრემიერი	პრემიერ ი
ლიცენზიით	ლიცენზი ით
შტატებში	შტატ ებში
ყრილობებს	ყრილობ ებს
ექმნება	ექმნ ება
ირჩევდა	ირჩევ და
ზბიგნევი	ზბიგნევ ი
უკრაინელები	უკრაინელებ ი
კავშირებით	კავშირ ებით
კონსოლების	კონსოლ ების
მშიერი	მშ იერი
ღელვის	ღელვ ის
საცეცხლე	საცეცხლ ე
მხარეებზე	მხარე ებზე
კოპერი	კოპ ერი
ლიცენზიის	ლიცენზი ის
დასასჯელად	დასასჯელ ად
ოკეანეებში	ოკეანე ებში
პიროვნებები	პიროვნებ ები
პოულობდა	პოულობ და
დაამონტაჟეს	დაამონტაჟ ეს
სკანირება	სკ ანი რება
მკვლელი	მკვლელ ი
ემაგრება	ემაგრ ება
ვახტანგი	ვახტანგ ი
თვალნათლივ	თვალნათლ ივ
ოდნავი	ოდნ ავი
გლობუსზე	გლობუს ზე
საგლეხო	საგლეხ ო
ჟღენტი	ჟღენტ ი
მამაკაცური	მამაკაც ური
კვირეული	კვირ ეული
სვიტრი	სვიტ რი
ნოველების	ნოველ ების
გეიმის	გეიმ ის
ზეახალი	ზეახალ ი
ალპინისტთა	ალპინისტ თა
ხელშეკრულებაში	ხელშეკრულებ აში
შუბისპირები	შუბ ის პირები
გოლგოთის	გოლგოთ ის
მემკვიდრეობისა	მემკვიდრეობ ის ა
თარგმანს	თარგმან ს
მოუნდა	მოუნდ ა
ჩეხი	ჩეხ ი
კიტი	კიტ ი
კრება	კრებ ა
ამჟამინდელ	ა მჟამინდელ
მართალ	მართ ალ
დარტყმით	დარტყმ ით
ფორმებისა	ფორმ ების ა
ახსნა	ახსნ ა
კანონზომიერება	კანონზომიერებ ა
დადაბლებული	დადაბლ ებული
ფირის	ფირ ის
ქიქოძის	ქიქოძ ის
ჩართვას	ჩართვ ას
ვაჭარი	ვაჭარ ი
წონაა	წონ აა
აგილერამ	აგილერ ამ
ენერგიების	ენერგი ების
ფტორიდი	ფტორ იდი
ეკოლოგიურად	ეკოლოგი ურად
პატიმრებს	პატიმრ ებს
დოქტრინა	დოქტრი ნა
დააზიანა	დააზიან ა
მოკლავდა	მოკლ ავდა
ორეგონის	ორეგ ონის
დამთავრდება	დამთავრ დება
მოძრაობასთან	მოძრაობ ასთან
ნიკეაში	ნიკე აში
კოსმოსური	კოსმოს ური
კამპუსი	კამპუს ი
ამჰერსტში	ამჰერსტ ში
დუბაი	დუბა ი
აღმოჩენაა	აღმოჩენ ა ა
დაისაჯნენ	დაისაჯ ნენ
გარეკანი	გარეკან ი
შემკული	შემკ ული
ევოლუციურად	ევოლუცი ურად
ტანკების	ტანკ ების
მაისი	მაის ი
კიშინიოვის	კიშინ იოვის
ღატაკი	ღატაკ ი
წამოუღია	წამოუღ ია
მასალაც	მასალ აც
აჩვენებდა	აჩვენ ებდა
ჰეზბოლამ	ჰეზბოლ ამ
იგრძნობოდა	იგრძნობ ოდა
ტემპერატურაზე	ტემპერატურ აზე
ნაკადული	ნაკად ული
გასულიყვნენ	გას ული ყვნენ
ასისტენტად	ასისტენტ ად
ტორონტო	ტორონტ ო
წილის	წილ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალ ული
დამფუძნებლები	დამფუძნებ ლები
ლაზთა	ლაზ თა
მხოლოს	მხოლ ოს
ოცნებაა	ოცნებ ა ა
პიანისტის	პიანისტ ის
მოპყრობა	მოპყრობ ა
ამბიციები	ამბიცი ები
უჩვეულოდ	უჩვეულ ოდ
ექნებოდა	ექნ ებოდა
მიუსაჯა	მიუსაჯ ა
ნორმანული	ნორმან ული
განმარტება	განმარტებ ა
გააქვს	გა აქვს
ელამი	ელამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსართ ები
გავედი	გავედ ი
კანკელი	კანკელ ი
ფიცით	ფიც ით
აგზავნიან	აგზავნ იან
რაინის	რაინ ის
ჰაბილისს	ჰაბილის ს
კრებულში	კრებულ ში
დაეთმოთ	დაეთმ ოთ
მოძრაობიდან	მოძრაობ იდან
დისკზე	დისკ ზე
გოთიკის	გოთ იკის
მელბურნში	მელბურნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუდ ის
ბორუსია	ბორ უსი ა
სიგრძისა	სიგრძ ისა
საბუთის	საბუთ ის
გაწყდა	გაწყ და
აიღებს	აიღ ებს
იმედგაცრუებული	იმედგაცრუ ებული
მამფალი	მამფალ ი
ამინდი	ამინდ ი
იზრდებიან	იზრდებ იან
ბეჭედს	ბეჭედ ს
არქიტექტორი	არქიტექტორ ი
უნებლიე	უნებლი ე
გრაფების	გრაფ ების
სიბრმავე	სიბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლოდ ები
ვოკალისტ	ვოკალ ისტ
სესხის	სესხ ის
სოლისტია	სოლისტ ია
დოჟის	დოჟ ის
გაათავისუფლა	გაათავისუფლ ა
დაამარცხებდა	დაამარცხ ებდა
რონი	რონ ი
ხანაც	ხან აც
ბეჭედზე	ბეჭედ ზე
ბაბილონეთის	ბაბილონ ეთის
ამუშავებდნენ	ამუშავ ებდნენ
მთვარეზე	მთვარე ზე
სერ	ს ერ
საგრანტო	საგრან ტო
კურფიურსტის	კურფიურ ს ტის
გადატანილი	გადატან ილი
ბურთი	ბურთ ი
მოახერხა	მოახერხ ა
ქონგურებიანი	ქონგურ ებიან ი
არენასი	არენა სი
ჭავჭავაძის	ჭავჭავაძ ის
კარიერი	კარიერ ი
მაჟინოს	მაჟინ ოს
ნახატები	ნახატ ები
ქერქის	ქერქ ის
ჟარი	ჟარ ი
თავსებადი	თავს ებად ი
გდრ	გდ რ
ოსურ	ოს ურ
რეაქციული	რეაქცი ული
ბანკნოტები	ბანკნოტ ები
მოჭედილი	მოჭედ ილი
გამოსვლამდე	გამოსვლ ამდე
ივლისისა	ივლის ისა
შეფუთვა	შეფუთვ ა
შესწავლისათვის	შესწავლ ის ათვის
გორაზე	გორ აზე
მცენარეებისგან	მცენარე ების გან
მეფისა	მეფ ის ა
